Food_Code,Food_Name,Category,Calories,Protein,Carbs,Fat,Fiber,Sugars,Sodium,Cholesterol,Protein_Efficiency,Caloric_Density,Bulking_Score,Cutting_Score
42305020,"Chicken deli sandwich or sub, restaurant","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",684.7,21.17,53.48,42.9,13.71,9.84,274.6,0.0,3.09,6.85,75.93,77.24
43101150,"Chicken, meatless, NFS","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",382.8,13.19,20.49,27.56,3.33,7.04,209.7,0.0,3.45,3.83,40.45,38.57
43102000,"Chicken, meatless, breaded, fried","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",631.2,9.11,50.21,43.77,5.16,4.59,68.9,0.0,1.44,6.31,49.64,25.03
42202000,"Chili hot dog, no bun","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",452.7,24.54,56.54,14.27,12.81,3.47,329.8,0.0,5.42,4.53,81.88,90.19
42301015,Club sandwich on wheat,"Dry Beans, Peas, Other Legumes, Nuts, and Seeds",319.8,12.88,31.45,15.84,12.85,1.53,60.7,0.0,4.03,3.2,44.68,57.94
42301120,Club sandwich on white,"Dry Beans, Peas, Other Legumes, Nuts, and Seeds",321.9,6.43,16.95,25.38,9.54,8.04,65.1,0.0,2.0,3.22,24.55,31.93
41101090,"Coconut, fresh","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",674.7,21.07,29.1,52.67,8.61,9.66,360.7,0.0,3.12,6.75,63.44,66.94
41102040,"Coconut, packaged","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",471.3,25.09,59.78,14.64,10.43,5.68,118.7,0.0,5.32,4.71,84.78,86.7
42200600,Corned beef patty,"Dry Beans, Peas, Other Legumes, Nuts, and Seeds",739.1,11.81,51.59,53.95,11.4,1.09,56.9,0.0,1.6,7.39,56.81,43.45
42302020,"Corned beef sandwich on wheat, with cheese","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",588.6,22.47,14.51,48.97,18.46,1.94,396.3,0.0,3.82,5.89,58.08,92.56
42302015,"Corned beef sandwich on white, with cheese","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",520.1,9.66,21.78,43.82,4.59,4.94,10.2,0.0,1.86,5.2,35.41,27.76
42101130,"Corned beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",388.7,12.64,35.88,21.63,12.59,2.03,398.8,0.0,3.25,3.89,47.11,55.33
42101120,"Corned beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",260.9,7.59,50.65,3.1,14.2,3.45,348.7,0.0,2.91,2.61,43.11,45.95
41410015,"Crackers, oyster","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",488.4,15.65,26.32,35.61,3.04,9.71,93.6,0.0,3.2,4.88,49.34,43.26
42402010,"Egg casserole with bread, cheese, milk and meat","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",218.5,5.01,22.06,12.24,7.26,8.25,112.6,0.0,2.29,2.18,23.24,25.18
42401010,"Egg, Benedict","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",514.2,5.97,19.34,45.89,16.04,4.16,151.3,0.0,1.16,5.14,26.75,39.71
42100050,Flax seeds,"Dry Beans, Peas, Other Legumes, Nuts, and Seeds",297.0,10.54,11.74,23.1,7.92,8.28,320.3,0.0,3.55,2.97,29.92,41.52
42200500,Frankfurters or hot dogs and sauerkraut,"Dry Beans, Peas, Other Legumes, Nuts, and Seeds",382.4,12.83,33.12,22.06,17.68,9.36,122.1,0.0,3.36,3.82,46.04,66.2
43101050,"Frozen dessert, non-dairy","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",291.5,20.24,19.82,14.58,5.95,9.62,342.0,0.0,6.94,2.92,53.3,66.79
42111100,"Ham and noodles, no sauce","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",628.7,17.87,18.27,53.8,4.83,9.39,365.5,0.0,2.84,6.29,51.16,50.7
42500100,"Ham and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",449.0,22.75,57.53,14.21,15.68,5.69,108.2,0.0,5.07,4.49,78.76,90.63
43102100,"Ham and vegetables including carrots broccoli, and/or dark- green leafy; no potatoes, no sauce","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",682.3,16.7,42.87,49.33,9.68,9.66,166.9,0.0,2.45,6.82,61.66,55.81
43108010,Ham croquette,"Dry Beans, Peas, Other Legumes, Nuts, and Seeds",283.7,15.37,48.39,3.19,5.09,2.83,161.4,0.0,5.42,2.84,57.77,50.62
41420010,"Ham or pork and rice, no sauce","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",292.0,8.65,24.46,17.73,11.87,6.97,153.1,0.0,2.96,2.92,32.45,43.85
41421010,Ham or pork salad,"Dry Beans, Peas, Other Legumes, Nuts, and Seeds",710.5,21.96,38.53,52.06,10.53,6.39,191.1,0.0,3.09,7.1,70.29,72.73
42110160,"Ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",579.6,10.5,20.06,50.81,17.5,7.97,157.7,0.0,1.81,5.8,36.83,54.91
42112210,"Ham or pork, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",411.6,16.61,22.67,28.27,3.52,2.19,354.7,0.0,4.04,4.12,48.67,48.64
42301010,Ham sandwich on wheat,"Dry Beans, Peas, Other Legumes, Nuts, and Seeds",469.5,9.81,14.99,41.14,18.07,6.86,58.5,0.0,2.09,4.7,31.81,56.18
42304010,"Ham sandwich on wheat, with cheese","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",650.9,13.91,34.55,50.78,11.17,1.13,176.1,0.0,2.14,6.51,51.6,51.05
42302110,"Ham sandwich on white, with cheese","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",507.6,18.55,25.03,37.03,13.97,6.2,46.4,0.0,3.65,5.08,54.69,73.44
42111040,"Ham, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",414.7,14.98,59.0,13.2,13.41,4.9,29.3,0.0,3.61,4.15,63.61,63.47
42112100,"Ham, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",665.7,22.55,35.66,48.09,7.91,1.78,374.7,0.0,3.39,6.66,69.59,70.16
41420380,"Ham, prosciutto","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",409.9,17.61,53.28,14.03,4.34,4.21,299.3,0.0,4.3,4.1,65.96,53.31
41811800,"Hash, NS as to type of meat","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",439.8,16.35,46.72,20.83,3.32,1.9,199.0,0.0,3.72,4.4,60.46,46.89
42107000,"Hayacas, Puerto Rican style","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",284.4,26.53,40.78,1.69,14.82,4.76,226.7,0.0,9.33,2.84,76.29,103.54
41104040,Hazelnuts,"Dry Beans, Peas, Other Legumes, Nuts, and Seeds",649.7,6.86,35.52,53.35,14.78,1.64,76.6,0.0,1.06,6.5,37.98,37.15
42114145,"Hot dog, vegetarian","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",594.7,26.13,36.27,38.34,18.02,5.46,126.0,0.0,4.39,5.95,76.34,102.54
43107000,"Kibby, Puerto Rican style","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",394.9,16.92,48.18,14.95,11.17,9.93,275.0,0.0,4.28,3.95,61.88,65.2
42501500,Lamb or mutton loaf,"Dry Beans, Peas, Other Legumes, Nuts, and Seeds",307.6,13.23,29.57,15.15,8.83,4.7,288.4,0.0,4.3,3.08,44.32,51.2
42113000,"Liver, beef or calves, and onions","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",289.3,23.41,38.57,4.6,4.98,6.37,110.7,0.0,8.09,2.89,69.0,74.4
42104500,"Luncheon slice, meatless-beef, chicken, salami or turkey","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",444.1,27.01,31.69,23.25,3.61,5.48,222.1,0.0,6.08,4.44,74.31,79.37
41101080,Macadamia nuts,"Dry Beans, Peas, Other Legumes, Nuts, and Seeds",510.9,6.23,52.62,30.61,6.35,3.86,113.5,0.0,1.22,5.11,43.88,21.17
42101300,Meat loaf made with beef,"Dry Beans, Peas, Other Legumes, Nuts, and Seeds",579.3,13.66,42.73,39.3,12.97,4.22,231.2,0.0,2.36,5.79,54.48,55.33
42112300,Meat loaf made with beef and pork,"Dry Beans, Peas, Other Legumes, Nuts, and Seeds",569.1,15.98,12.24,50.69,11.0,1.26,276.2,0.0,2.81,5.69,43.77,58.56
42111200,"Meat loaf made with beef and pork, with tomato-based sauce","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",426.0,24.42,53.62,12.64,4.42,5.35,206.1,0.0,5.73,4.26,79.91,73.58
42101350,"Meat loaf made with beef, veal and pork","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",155.6,8.11,20.71,4.48,12.76,6.6,202.8,0.0,5.21,1.56,28.13,46.74
42111110,"Meat loaf made with beef, with tomato-based sauce","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",565.1,20.17,41.34,35.45,13.69,5.98,394.6,0.0,3.57,5.65,66.66,76.59
42109100,Meat loaf made with ham,"Dry Beans, Peas, Other Legumes, Nuts, and Seeds",337.8,7.1,59.64,7.87,4.23,8.91,121.4,0.0,2.1,3.38,47.4,23.0
42502100,Meat loaf made with venison/deer,"Dry Beans, Peas, Other Legumes, Nuts, and Seeds",416.2,28.59,12.09,28.17,12.93,9.28,20.6,0.0,6.87,4.16,67.39,103.31
42111500,"Meat loaf, NS as to type of meat","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",628.6,26.34,22.1,48.32,3.32,7.59,373.3,0.0,4.19,6.29,70.02,73.09
42106020,"Meat loaf, Puerto Rican style","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",352.6,13.76,55.85,8.23,14.42,1.04,369.9,0.0,3.9,3.53,58.97,63.07
42500000,"Meat substitute, cereal- and vegetable protein-based, fried","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",423.0,6.35,35.83,28.26,5.54,1.93,50.3,0.0,1.5,4.23,34.84,21.67
42110000,"Meatball, meatless","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",260.6,10.35,13.0,18.58,5.44,7.39,214.0,0.0,3.97,2.61,29.81,36.72
43104000,"Meatballs, Puerto Rican style","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",438.9,8.52,45.83,24.61,9.86,2.23,203.2,0.0,1.94,4.39,44.34,36.5
41106510,"Mixed nuts, NFS","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",450.3,26.15,32.62,23.92,5.66,4.84,215.4,0.0,5.81,4.5,73.11,80.76
41106010,"Mixed nuts, honey roasted","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",359.8,16.2,23.72,22.23,9.59,3.58,108.2,0.0,4.5,3.6,47.86,60.58
41105990,"Mixed nuts, unroasted","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",600.2,16.1,49.07,37.72,13.8,9.19,8.2,0.0,2.68,6.0,62.74,63.9
41106150,"Mixed nuts, with peanuts, lightly salted","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",653.3,19.65,43.71,44.43,14.21,4.58,205.9,0.0,3.01,6.53,67.69,74.3
41106080,"Mixed nuts, with peanuts, salted","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",413.4,24.68,37.07,18.49,5.32,8.99,188.8,0.0,5.97,4.13,72.03,76.41
41106170,"Mixed nuts, with peanuts, unsalted","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",230.5,14.34,29.41,6.17,18.55,1.82,259.6,0.0,6.22,2.31,45.69,75.51
41106020,"Mixed nuts, without peanuts, salted","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",278.1,15.14,43.98,4.62,13.09,7.95,331.5,0.0,5.44,2.78,55.05,66.04
41106040,"Mixed nuts, without peanuts, unsalted","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",718.6,27.44,42.81,48.62,11.25,5.88,367.7,0.0,3.82,7.19,83.47,90.45
41108010,Mixed seeds,"Dry Beans, Peas, Other Legumes, Nuts, and Seeds",326.6,5.51,40.22,15.96,17.66,3.55,275.0,0.0,1.69,3.27,34.4,45.32
42401200,Mortadella,"Dry Beans, Peas, Other Legumes, Nuts, and Seeds",461.8,14.59,17.61,37.0,7.83,6.27,235.1,0.0,3.16,4.62,42.6,50.19
41311000,"Nuts, NFS","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",433.1,22.82,44.4,18.24,7.29,9.6,369.4,0.0,5.27,4.33,72.17,74.38
42204050,"Oats, raw","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",579.9,11.77,41.07,40.95,15.57,5.34,182.3,0.0,2.03,5.8,49.87,54.85
42203000,"Pancakes and sausage, frozen meal","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",624.1,29.04,35.57,40.63,9.99,4.2,163.5,0.0,4.65,6.24,82.11,94.62
42204060,"Pasta, whole grain, cooked","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",586.7,20.66,16.56,48.65,17.09,6.87,183.9,0.0,3.52,5.87,55.47,84.43
41302020,Peanut butter,"Dry Beans, Peas, Other Legumes, Nuts, and Seeds",588.7,17.48,56.58,32.5,12.15,5.09,84.5,0.0,2.97,5.89,69.14,64.97
41101210,Peanut butter and chocolate spread,"Dry Beans, Peas, Other Legumes, Nuts, and Seeds",338.2,24.64,43.68,7.21,14.81,4.97,378.0,0.0,7.29,3.38,74.5,96.78
41101110,Peanut butter and jelly,"Dry Beans, Peas, Other Legumes, Nuts, and Seeds",305.0,21.35,30.81,10.7,14.71,6.09,343.6,0.0,7.0,3.05,61.16,87.37
41302040,"Peanut butter, lower sodium","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",379.8,11.04,35.49,21.52,10.62,9.83,140.8,0.0,2.91,3.8,43.62,46.76
41302110,"Peanut butter, lower sodium and lower sugar","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",468.8,8.34,12.4,42.87,12.7,7.85,60.8,0.0,1.78,4.69,27.57,41.04
41101180,"Peanut butter, lower sugar","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",145.6,11.34,21.4,1.62,5.22,3.78,47.6,0.0,7.79,1.46,34.84,41.55
41101120,"Peanut butter, reduced fat","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",222.7,12.72,16.52,11.75,12.99,1.58,345.1,0.0,5.71,2.23,35.93,59.69
41101140,"Peanut butter, vitamin and mineral fortified","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",194.5,11.17,32.5,2.2,13.89,4.73,108.8,0.0,5.74,1.94,40.53,57.4
41201020,"Peanuts, NFS","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",411.2,13.02,22.61,29.85,17.0,1.93,377.3,0.0,3.17,4.11,41.46,64.84
41104010,"Peanuts, boiled","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",589.9,26.04,40.88,35.8,3.48,8.46,315.5,0.0,4.41,5.9,78.42,73.28
41208030,"Peanuts, dry roasted, lightly salted","Dry Beans, Peas, Other Legumes, Nuts, and Seeds",298.9,29.9,24.44,9.06,7.1,9.43,208.5,0.0,10.0,2.99,75.01,97.92
