Nutrition,Unit,NutritionPer100 (g),NutritionValue,Food code
"Fiber, total dietary (g)",g,0.1,0.1,11321000
Energy (kcal),kcal,236.4,236.4,11321000
Protein (g),g,10.14,10.14,11350000
Carbohydrate (g),g,7.65,7.65,11350000
Total Fat (g),g,10.73,10.73,11350000
"Fiber, total dietary (g)",g,0.08,0.08,11350000
Energy (kcal),kcal,167.7,167.7,11350000
Protein (g),g,7.19,7.19,11350010
Carbohydrate (g),g,8.65,8.65,11350010
Total Fat (g),g,13.33,13.33,11350010
"Fiber, total dietary (g)",g,0.1,0.1,11350010
Energy (kcal),kcal,183.3,183.3,11350010
Protein (g),g,12.45,12.45,11350020
Carbohydrate (g),g,6.8,6.8,11350020
Total Fat (g),g,14.19,14.19,11350020
"Fiber, total dietary (g)",g,0.12,0.12,11350020
Energy (kcal),kcal,204.7,204.7,11350020
Protein (g),g,8.37,8.37,11350040
Carbohydrate (g),g,5.97,5.97,11350040
Total Fat (g),g,13.11,13.11,11350040
"Fiber, total dietary (g)",g,0.08,0.08,11350040
Energy (kcal),kcal,175.3,175.3,11350040
Protein (g),g,12.58,12.58,11360000
Carbohydrate (g),g,9.48,9.48,11360000
Total Fat (g),g,16.2,16.2,11360000
"Fiber, total dietary (g)",g,0.12,0.12,11360000
Energy (kcal),kcal,234.0,234.0,11360000
Protein (g),g,11.82,11.82,11360200
Carbohydrate (g),g,6.5,6.5,11360200
Total Fat (g),g,18.53,18.53,11360200
"Fiber, total dietary (g)",g,0.1,0.1,11360200
Energy (kcal),kcal,240.1,240.1,11360200
Protein (g),g,11.84,11.84,11370000
Carbohydrate (g),g,9.9,9.9,11370000
Total Fat (g),g,13.36,13.36,11370000
"Fiber, total dietary (g)",g,0.08,0.08,11370000
Energy (kcal),kcal,207.2,207.2,11370000
Protein (g),g,8.37,8.37,11400000
Carbohydrate (g),g,7.65,7.65,11400000
Total Fat (g),g,17.86,17.86,11400000
"Fiber, total dietary (g)",g,0.12,0.12,11400000
Energy (kcal),kcal,224.8,224.8,11400000
Protein (g),g,7.04,7.04,11400010
Carbohydrate (g),g,8.05,8.05,11400010
Total Fat (g),g,14.26,14.26,11400010
"Fiber, total dietary (g)",g,0.08,0.08,11400010
Energy (kcal),kcal,188.7,188.7,11400010
Protein (g),g,7.72,7.72,11410000
Carbohydrate (g),g,7.22,7.22,11410000
Total Fat (g),g,18.99,18.99,11410000
"Fiber, total dietary (g)",g,0.09,0.09,11410000
Energy (kcal),kcal,230.7,230.7,11410000
Protein (g),g,10.11,10.11,11411010
Carbohydrate (g),g,8.97,8.97,11411010
Total Fat (g),g,13.77,13.77,11411010
"Fiber, total dietary (g)",g,0.13,0.13,11411010
Energy (kcal),kcal,200.2,200.2,11411010
Protein (g),g,12.77,12.77,11411100
Carbohydrate (g),g,6.81,6.81,11411100
Total Fat (g),g,14.98,14.98,11411100
"Fiber, total dietary (g)",g,0.09,0.09,11411100
Energy (kcal),kcal,213.1,213.1,11411100
Protein (g),g,8.71,8.71,11411200
Carbohydrate (g),g,5.78,5.78,11411200
Total Fat (g),g,15.99,15.99,11411200
"Fiber, total dietary (g)",g,0.1,0.1,11411200
Energy (kcal),kcal,201.9,201.9,11411200
Protein (g),g,7.31,7.31,11411300
Carbohydrate (g),g,6.94,6.94,11411300
Total Fat (g),g,18.67,18.67,11411300
"Fiber, total dietary (g)",g,0.08,0.08,11411300
Energy (kcal),kcal,225.0,225.0,11411300
Protein (g),g,7.87,7.87,11411390
Carbohydrate (g),g,7.95,7.95,11411390
Total Fat (g),g,19.37,19.37,11411390
"Fiber, total dietary (g)",g,0.08,0.08,11411390
Energy (kcal),kcal,237.6,237.6,11411390
Protein (g),g,11.03,11.03,11411400
Carbohydrate (g),g,9.26,9.26,11411400
Total Fat (g),g,12.64,12.64,11411400
"Fiber, total dietary (g)",g,0.11,0.11,11411400
Energy (kcal),kcal,194.9,194.9,11411400
Protein (g),g,9.21,9.21,11411410
Carbohydrate (g),g,8.64,8.64,11411410
Total Fat (g),g,16.2,16.2,11411410
"Fiber, total dietary (g)",g,0.1,0.1,11411410
Energy (kcal),kcal,217.2,217.2,11411410
Protein (g),g,7.54,7.54,11411420
Carbohydrate (g),g,9.61,9.61,11411420
Total Fat (g),g,13.39,13.39,11411420
"Fiber, total dietary (g)",g,0.08,0.08,11411420
Energy (kcal),kcal,189.1,189.1,11411420
Protein (g),g,7.24,7.24,11430000
Carbohydrate (g),g,8.44,8.44,11430000
Total Fat (g),g,16.6,16.6,11430000
"Fiber, total dietary (g)",g,0.07,0.07,11430000
Energy (kcal),kcal,212.1,212.1,11430000
Protein (g),g,10.07,10.07,11431000
Carbohydrate (g),g,6.69,6.69,11431000
Total Fat (g),g,16.31,16.31,11431000
"Fiber, total dietary (g)",g,0.08,0.08,11431000
Energy (kcal),kcal,213.8,213.8,11431000
Protein (g),g,11.15,11.15,11432000
Carbohydrate (g),g,7.46,7.46,11432000
Total Fat (g),g,18.93,18.93,11432000
"Fiber, total dietary (g)",g,0.08,0.08,11432000
Energy (kcal),kcal,244.8,244.8,11432000
Protein (g),g,9.05,9.05,11433000
Carbohydrate (g),g,6.14,6.14,11433000
Total Fat (g),g,18.82,18.82,11433000
"Fiber, total dietary (g)",g,0.12,0.12,11433000
Energy (kcal),kcal,230.1,230.1,11433000
Protein (g),g,8.55,8.55,11433990
Carbohydrate (g),g,8.77,8.77,11433990
Total Fat (g),g,17.85,17.85,11433990
"Fiber, total dietary (g)",g,0.1,0.1,11433990
Energy (kcal),kcal,229.9,229.9,11433990
Protein (g),g,10.18,10.18,11434000
Carbohydrate (g),g,6.76,6.76,11434000
Total Fat (g),g,11.34,11.34,11434000
"Fiber, total dietary (g)",g,0.12,0.12,11434000
Energy (kcal),kcal,169.8,169.8,11434000
Protein (g),g,12.4,12.4,11434010
Carbohydrate (g),g,8.64,8.64,11434010
Total Fat (g),g,13.55,13.55,11434010
"Fiber, total dietary (g)",g,0.09,0.09,11434010
Energy (kcal),kcal,206.1,206.1,11434010
Protein (g),g,11.36,11.36,11434020
Carbohydrate (g),g,9.91,9.91,11434020
Total Fat (g),g,18.48,18.48,11434020
"Fiber, total dietary (g)",g,0.12,0.12,11434020
Energy (kcal),kcal,251.4,251.4,11434020
Protein (g),g,10.85,10.85,11434090
Carbohydrate (g),g,6.0,6.0,11434090
Total Fat (g),g,11.95,11.95,11434090
"Fiber, total dietary (g)",g,0.12,0.12,11434090
Energy (kcal),kcal,174.9,174.9,11434090
Protein (g),g,10.64,10.64,11434100
Carbohydrate (g),g,5.64,5.64,11434100
Total Fat (g),g,11.41,11.41,11434100
"Fiber, total dietary (g)",g,0.11,0.11,11434100
Energy (kcal),kcal,167.8,167.8,11434100
Protein (g),g,7.03,7.03,11434200
Carbohydrate (g),g,6.37,6.37,11434200
Total Fat (g),g,15.44,15.44,11434200
"Fiber, total dietary (g)",g,0.11,0.11,11434200
Energy (kcal),kcal,192.6,192.6,11434200
Protein (g),g,10.91,10.91,11434300
Carbohydrate (g),g,6.68,6.68,11434300
Total Fat (g),g,16.91,16.91,11434300
"Fiber, total dietary (g)",g,0.08,0.08,11434300
Energy (kcal),kcal,222.6,222.6,11434300
Protein (g),g,8.95,8.95,11435000
Carbohydrate (g),g,9.18,9.18,11435000
Total Fat (g),g,16.35,16.35,11435000
"Fiber, total dietary (g)",g,0.12,0.12,11435000
Energy (kcal),kcal,219.7,219.7,11435000
Protein (g),g,10.95,10.95,11435010
Carbohydrate (g),g,8.33,8.33,11435010
Total Fat (g),g,11.34,11.34,11435010
"Fiber, total dietary (g)",g,0.09,0.09,11435010
Energy (kcal),kcal,179.2,179.2,11435010
Protein (g),g,8.59,8.59,11435020
Carbohydrate (g),g,6.77,6.77,11435020
Total Fat (g),g,19.26,19.26,11435020
"Fiber, total dietary (g)",g,0.09,0.09,11435020
Energy (kcal),kcal,234.8,234.8,11435020
Protein (g),g,12.35,12.35,11435030
Carbohydrate (g),g,8.63,8.63,11435030
Total Fat (g),g,17.65,17.65,11435030
"Fiber, total dietary (g)",g,0.1,0.1,11435030
Energy (kcal),kcal,242.8,242.8,11435030
Protein (g),g,10.46,10.46,11435100
Carbohydrate (g),g,7.96,7.96,11435100
Total Fat (g),g,12.26,12.26,11435100
"Fiber, total dietary (g)",g,0.11,0.11,11435100
Energy (kcal),kcal,184.0,184.0,11435100
Protein (g),g,8.68,8.68,11436000
Carbohydrate (g),g,5.72,5.72,11436000
Total Fat (g),g,16.31,16.31,11436000
"Fiber, total dietary (g)",g,0.08,0.08,11436000
Energy (kcal),kcal,204.4,204.4,11436000
Protein (g),g,12.64,12.64,11436100
Carbohydrate (g),g,10.18,10.18,11436100
Total Fat (g),g,18.73,18.73,11436100
"Fiber, total dietary (g)",g,0.09,0.09,11436100
Energy (kcal),kcal,259.9,259.9,11436100
Protein (g),g,7.09,7.09,11440010
Carbohydrate (g),g,10.06,10.06,11440010
Total Fat (g),g,14.35,14.35,11440010
"Fiber, total dietary (g)",g,0.13,0.13,11440010
Energy (kcal),kcal,197.8,197.8,11440010
Protein (g),g,12.78,12.78,11440030
Carbohydrate (g),g,9.69,9.69,11440030
Total Fat (g),g,13.15,13.15,11440030
"Fiber, total dietary (g)",g,0.09,0.09,11440030
Energy (kcal),kcal,208.2,208.2,11440030
Protein (g),g,12.11,12.11,11440040
Carbohydrate (g),g,7.12,7.12,11440040
Total Fat (g),g,12.03,12.03,11440040
"Fiber, total dietary (g)",g,0.1,0.1,11440040
Energy (kcal),kcal,185.2,185.2,11440040
Protein (g),g,12.62,12.62,11440050
Carbohydrate (g),g,8.94,8.94,11440050
Total Fat (g),g,15.63,15.63,11440050
"Fiber, total dietary (g)",g,0.08,0.08,11440050
Energy (kcal),kcal,226.9,226.9,11440050
Protein (g),g,10.69,10.69,11440060
Carbohydrate (g),g,10.35,10.35,11440060
Total Fat (g),g,11.76,11.76,11440060
"Fiber, total dietary (g)",g,0.1,0.1,11440060
Energy (kcal),kcal,190.0,190.0,11440060
Protein (g),g,12.26,12.26,11440070
Carbohydrate (g),g,9.16,9.16,11440070
Total Fat (g),g,16.77,16.77,11440070
"Fiber, total dietary (g)",g,0.11,0.11,11440070
Energy (kcal),kcal,236.6,236.6,11440070
Protein (g),g,9.16,9.16,11446000
Carbohydrate (g),g,7.01,7.01,11446000
Total Fat (g),g,17.78,17.78,11446000
"Fiber, total dietary (g)",g,0.12,0.12,11446000
Energy (kcal),kcal,224.7,224.7,11446000
Protein (g),g,12.2,12.2,11459990
Carbohydrate (g),g,9.98,9.98,11459990
Total Fat (g),g,15.1,15.1,11459990
"Fiber, total dietary (g)",g,0.1,0.1,11459990
Energy (kcal),kcal,224.6,224.6,11459990
Protein (g),g,11.79,11.79,11460000
Carbohydrate (g),g,8.72,8.72,11460000
Total Fat (g),g,16.82,16.82,11460000
"Fiber, total dietary (g)",g,0.12,0.12,11460000
Energy (kcal),kcal,233.4,233.4,11460000
Protein (g),g,12.34,12.34,11460100
Carbohydrate (g),g,7.22,7.22,11460100
Total Fat (g),g,13.88,13.88,11460100
"Fiber, total dietary (g)",g,0.08,0.08,11460100
Energy (kcal),kcal,203.2,203.2,11460100
Protein (g),g,10.47,10.47,11460500
Carbohydrate (g),g,5.77,5.77,11460500
Total Fat (g),g,14.69,14.69,11460500
"Fiber, total dietary (g)",g,0.1,0.1,11460500
Energy (kcal),kcal,197.2,197.2,11460500
Protein (g),g,8.72,8.72,11460510
Carbohydrate (g),g,8.44,8.44,11460510
Total Fat (g),g,10.77,10.77,11460510
"Fiber, total dietary (g)",g,0.07,0.07,11460510
Energy (kcal),kcal,165.6,165.6,11460510
Protein (g),g,11.94,11.94,11461200
Carbohydrate (g),g,7.33,7.33,11461200
Total Fat (g),g,11.64,11.64,11461200
"Fiber, total dietary (g)",g,0.1,0.1,11461200
Energy (kcal),kcal,181.8,181.8,11461200
Protein (g),g,11.62,11.62,11461210
Carbohydrate (g),g,6.64,6.64,11461210
Total Fat (g),g,16.11,16.11,11461210
"Fiber, total dietary (g)",g,0.08,0.08,11461210
Energy (kcal),kcal,218.0,218.0,11461210
Protein (g),g,7.31,7.31,11461220
Carbohydrate (g),g,8.15,8.15,11461220
Total Fat (g),g,15.37,15.37,11461220
"Fiber, total dietary (g)",g,0.11,0.11,11461220
Energy (kcal),kcal,200.2,200.2,11461220
Protein (g),g,11.36,11.36,11461250
Carbohydrate (g),g,10.28,10.28,11461250
Total Fat (g),g,15.15,15.15,11461250
"Fiber, total dietary (g)",g,0.09,0.09,11461250
Energy (kcal),kcal,222.9,222.9,11461250
Protein (g),g,11.77,11.77,11461260
Carbohydrate (g),g,6.9,6.9,11461260
Total Fat (g),g,14.45,14.45,11461260
"Fiber, total dietary (g)",g,0.07,0.07,11461260
Energy (kcal),kcal,204.7,204.7,11461260
Protein (g),g,7.15,7.15,11461300
Carbohydrate (g),g,10.22,10.22,11461300
Total Fat (g),g,18.02,18.02,11461300
"Fiber, total dietary (g)",g,0.11,0.11,11461300
Energy (kcal),kcal,231.7,231.7,11461300
Protein (g),g,9.45,9.45,11461320
Carbohydrate (g),g,6.43,6.43,11461320
Total Fat (g),g,11.91,11.91,11461320
"Fiber, total dietary (g)",g,0.09,0.09,11461320
Energy (kcal),kcal,170.7,170.7,11461320
Protein (g),g,10.3,10.3,11480000
Carbohydrate (g),g,9.03,9.03,11480000
Total Fat (g),g,16.44,16.44,11480000
"Fiber, total dietary (g)",g,0.09,0.09,11480000
Energy (kcal),kcal,225.3,225.3,11480000
Protein (g),g,12.73,12.73,11480010
Carbohydrate (g),g,9.14,9.14,11480010
Total Fat (g),g,15.49,15.49,11480010
"Fiber, total dietary (g)",g,0.11,0.11,11480010
Energy (kcal),kcal,226.9,226.9,11480010
Protein (g),g,9.52,9.52,11480100
Carbohydrate (g),g,6.79,6.79,11480100
Total Fat (g),g,13.7,13.7,11480100
"Fiber, total dietary (g)",g,0.12,0.12,11480100
Energy (kcal),kcal,188.5,188.5,11480100
Protein (g),g,7.09,7.09,11511000
Carbohydrate (g),g,6.16,6.16,11511000
Total Fat (g),g,10.91,10.91,11511000
"Fiber, total dietary (g)",g,0.07,0.07,11511000
Energy (kcal),kcal,151.2,151.2,11511000
Protein (g),g,12.13,12.13,11511100
Carbohydrate (g),g,8.98,8.98,11511100
Total Fat (g),g,14.77,14.77,11511100
"Fiber, total dietary (g)",g,0.08,0.08,11511100
Energy (kcal),kcal,217.4,217.4,11511100
Protein (g),g,9.95,9.95,11511200
Carbohydrate (g),g,7.87,7.87,11511200
Total Fat (g),g,12.06,12.06,11511200
"Fiber, total dietary (g)",g,0.1,0.1,11511200
Energy (kcal),kcal,179.8,179.8,11511200
Protein (g),g,9.39,9.39,11511300
Carbohydrate (g),g,8.56,8.56,11511300
Total Fat (g),g,16.22,16.22,11511300
"Fiber, total dietary (g)",g,0.07,0.07,11511300
Energy (kcal),kcal,217.8,217.8,11511300
Protein (g),g,9.25,9.25,11511400
Carbohydrate (g),g,8.6,8.6,11511400
Total Fat (g),g,15.03,15.03,11511400
"Fiber, total dietary (g)",g,0.12,0.12,11511400
Energy (kcal),kcal,206.7,206.7,11511400
Protein (g),g,10.95,10.95,11511550
Carbohydrate (g),g,6.38,6.38,11511550
Total Fat (g),g,11.14,11.14,11511550
"Fiber, total dietary (g)",g,0.11,0.11,11511550
Energy (kcal),kcal,169.6,169.6,11511550
Protein (g),g,7.16,7.16,11512005
Carbohydrate (g),g,8.41,8.41,11512005
Total Fat (g),g,18.96,18.96,11512005
"Fiber, total dietary (g)",g,0.1,0.1,11512005
Energy (kcal),kcal,232.9,232.9,11512005
Protein (g),g,9.33,9.33,11512010
Carbohydrate (g),g,8.69,8.69,11512010
Total Fat (g),g,14.62,14.62,11512010
"Fiber, total dietary (g)",g,0.1,0.1,11512010
Energy (kcal),kcal,203.7,203.7,11512010
Protein (g),g,12.65,12.65,11512020
Carbohydrate (g),g,7.45,7.45,11512020
Total Fat (g),g,19.15,19.15,11512020
"Fiber, total dietary (g)",g,0.12,0.12,11512020
Energy (kcal),kcal,252.8,252.8,11512020
Protein (g),g,8.17,8.17,11512030
Carbohydrate (g),g,5.93,5.93,11512030
Total Fat (g),g,11.41,11.41,11512030
"Fiber, total dietary (g)",g,0.07,0.07,11512030
Energy (kcal),kcal,159.1,159.1,11512030
Protein (g),g,7.57,7.57,11512100
Carbohydrate (g),g,8.88,8.88,11512100
Total Fat (g),g,11.14,11.14,11512100
"Fiber, total dietary (g)",g,0.09,0.09,11512100
Energy (kcal),kcal,166.1,166.1,11512100
Protein (g),g,12.07,12.07,11513380
Carbohydrate (g),g,5.71,5.71,11513380
Total Fat (g),g,17.83,17.83,11513380
"Fiber, total dietary (g)",g,0.09,0.09,11513380
Energy (kcal),kcal,231.6,231.6,11513380
Protein (g),g,7.71,7.71,11513385
Carbohydrate (g),g,8.94,8.94,11513385
Total Fat (g),g,16.16,16.16,11513385
"Fiber, total dietary (g)",g,0.12,0.12,11513385
Energy (kcal),kcal,212.0,212.0,11513385
Protein (g),g,11.41,11.41,11513801
Carbohydrate (g),g,9.46,9.46,11513801
Total Fat (g),g,13.04,13.04,11513801
"Fiber, total dietary (g)",g,0.08,0.08,11513801
Energy (kcal),kcal,200.8,200.8,11513801
Protein (g),g,11.5,11.5,11513802
Carbohydrate (g),g,9.47,9.47,11513802
Total Fat (g),g,19.41,19.41,11513802
"Fiber, total dietary (g)",g,0.09,0.09,11513802
Energy (kcal),kcal,258.6,258.6,11513802
Protein (g),g,9.23,9.23,11513803
Carbohydrate (g),g,9.33,9.33,11513803
Total Fat (g),g,13.57,13.57,11513803
"Fiber, total dietary (g)",g,0.13,0.13,11513803
Energy (kcal),kcal,196.4,196.4,11513803
Protein (g),g,12.15,12.15,11513804
Carbohydrate (g),g,7.66,7.66,11513804
Total Fat (g),g,17.26,17.26,11513804
"Fiber, total dietary (g)",g,0.12,0.12,11513804
Energy (kcal),kcal,234.6,234.6,11513804
Protein (g),g,7.62,7.62,11514100
Carbohydrate (g),g,9.93,9.93,11514100
Total Fat (g),g,15.05,15.05,11514100
"Fiber, total dietary (g)",g,0.12,0.12,11514100
Energy (kcal),kcal,205.7,205.7,11514100
Protein (g),g,8.92,8.92,11514110
Carbohydrate (g),g,9.9,9.9,11514110
Total Fat (g),g,14.0,14.0,11514110
"Fiber, total dietary (g)",g,0.07,0.07,11514110
Energy (kcal),kcal,201.3,201.3,11514110
Protein (g),g,12.43,12.43,11514130
Carbohydrate (g),g,6.04,6.04,11514130
Total Fat (g),g,13.37,13.37,11514130
"Fiber, total dietary (g)",g,0.13,0.13,11514130
Energy (kcal),kcal,194.2,194.2,11514130
Protein (g),g,12.7,12.7,11514150
Carbohydrate (g),g,8.35,8.35,11514150
Total Fat (g),g,16.19,16.19,11514150
"Fiber, total dietary (g)",g,0.1,0.1,11514150
Energy (kcal),kcal,229.9,229.9,11514150
Protein (g),g,8.76,8.76,11514160
Carbohydrate (g),g,7.18,7.18,11514160
Total Fat (g),g,16.55,16.55,11514160
"Fiber, total dietary (g)",g,0.12,0.12,11514160
Energy (kcal),kcal,212.7,212.7,11514160
Protein (g),g,11.75,11.75,11514310
Carbohydrate (g),g,9.39,9.39,11514310
Total Fat (g),g,11.32,11.32,11514310
"Fiber, total dietary (g)",g,0.1,0.1,11514310
Energy (kcal),kcal,186.4,186.4,11514310
Protein (g),g,7.35,7.35,11514320
Carbohydrate (g),g,8.24,8.24,11514320
Total Fat (g),g,14.47,14.47,11514320
"Fiber, total dietary (g)",g,0.12,0.12,11514320
Energy (kcal),kcal,192.6,192.6,11514320
Protein (g),g,9.11,9.11,11514325
Carbohydrate (g),g,6.16,6.16,11514325
Total Fat (g),g,11.79,11.79,11514325
"Fiber, total dietary (g)",g,0.12,0.12,11514325
Energy (kcal),kcal,167.2,167.2,11514325
Protein (g),g,10.71,10.71,11514330
Carbohydrate (g),g,6.09,6.09,11514330
Total Fat (g),g,11.26,11.26,11514330
"Fiber, total dietary (g)",g,0.11,0.11,11514330
Energy (kcal),kcal,168.5,168.5,11514330
Protein (g),g,7.44,7.44,11514340
Carbohydrate (g),g,9.54,9.54,11514340
Total Fat (g),g,16.86,16.86,11514340
"Fiber, total dietary (g)",g,0.07,0.07,11514340
Energy (kcal),kcal,219.7,219.7,11514340
Protein (g),g,7.51,7.51,11514350
Carbohydrate (g),g,10.34,10.34,11514350
Total Fat (g),g,13.87,13.87,11514350
"Fiber, total dietary (g)",g,0.09,0.09,11514350
Energy (kcal),kcal,196.2,196.2,11514350
Protein (g),g,11.88,11.88,11514360
Carbohydrate (g),g,10.15,10.15,11514360
Total Fat (g),g,19.37,19.37,11514360
"Fiber, total dietary (g)",g,0.12,0.12,11514360
Energy (kcal),kcal,262.5,262.5,11514360
Protein (g),g,9.26,9.26,11519040
Carbohydrate (g),g,6.0,6.0,11519040
Total Fat (g),g,17.49,17.49,11519040
"Fiber, total dietary (g)",g,0.1,0.1,11519040
Energy (kcal),kcal,218.4,218.4,11519040
Protein (g),g,9.55,9.55,11519050
Carbohydrate (g),g,9.95,9.95,11519050
Total Fat (g),g,11.5,11.5,11519050
"Fiber, total dietary (g)",g,0.1,0.1,11519050
Energy (kcal),kcal,181.5,181.5,11519050
Protein (g),g,7.07,7.07,11519105
Carbohydrate (g),g,7.85,7.85,11519105
Total Fat (g),g,11.01,11.01,11519105
"Fiber, total dietary (g)",g,0.08,0.08,11519105
Energy (kcal),kcal,158.8,158.8,11519105
Protein (g),g,7.71,7.71,11519200
Carbohydrate (g),g,8.72,8.72,11519200
Total Fat (g),g,17.21,17.21,11519200
"Fiber, total dietary (g)",g,0.11,0.11,11519200
Energy (kcal),kcal,220.6,220.6,11519200
Protein (g),g,12.77,12.77,11519205
Carbohydrate (g),g,7.4,7.4,11519205
Total Fat (g),g,13.07,13.07,11519205
"Fiber, total dietary (g)",g,0.12,0.12,11519205
Energy (kcal),kcal,198.3,198.3,11519205
Protein (g),g,8.34,8.34,11519210
Carbohydrate (g),g,10.22,10.22,11519210
Total Fat (g),g,10.61,10.61,11519210
"Fiber, total dietary (g)",g,0.13,0.13,11519210
Energy (kcal),kcal,169.7,169.7,11519210
