Food code,MainGroup
11710639,Milk and Milk Products
11710661,Milk and Milk Products
11710669,Milk and Milk Products
11710671,Milk and Milk Products
11710677,Milk and Milk Products
11710678,Milk and Milk Products
11710679,Milk and Milk Products
11710689,Milk and Milk Products
11710801,Milk and Milk Products
11710807,Milk and Milk Products
11710810,Milk and Milk Products
11710815,Milk and Milk Products
11710905,Milk and Milk Products
11710911,Milk and Milk Products
11710917,Milk and Milk Products
11710918,Milk and Milk Products
11710919,Milk and Milk Products
11710921,Milk and Milk Products
11710930,Milk and Milk Products
11710935,Milk and Milk Products
11710945,Milk and Milk Products
11710954,Milk and Milk Products
11710955,Milk and Milk Products
11710967,Milk and Milk Products
11710968,Milk and Milk Products
11710969,Milk and Milk Products
11710970,Milk and Milk Products
11710980,Milk and Milk Products
11720311,Milk and Milk Products
11720317,Milk and Milk Products
11720318,Milk and Milk Products
11720319,Milk and Milk Products
11720411,Milk and Milk Products
11720417,Milk and Milk Products
11720418,Milk and Milk Products
11720419,Milk and Milk Products
11720430,Milk and Milk Products
11720611,Milk and Milk Products
11720617,Milk and Milk Products
11720618,Milk and Milk Products
11720619,Milk and Milk Products
11720809,Milk and Milk Products
11740311,Milk and Milk Products
11740313,Milk and Milk Products
11740401,Milk and Milk Products
11740403,Milk and Milk Products
11740405,Milk and Milk Products
11740560,Milk and Milk Products
11810000,Milk and Milk Products
11825000,Milk and Milk Products
11830150,Milk and Milk Products
11830160,Milk and Milk Products
11830165,Milk and Milk Products
11830260,Milk and Milk Products
11830400,Milk and Milk Products
12100100,Milk and Milk Products
12110100,Milk and Milk Products
12120100,Milk and Milk Products
12120106,Milk and Milk Products
12120110,Milk and Milk Products
12130100,Milk and Milk Products
12140000,Milk and Milk Products
12200100,Milk and Milk Products
12210200,Milk and Milk Products
12210210,Milk and Milk Products
12210260,Milk and Milk Products
12210270,Milk and Milk Products
12210280,Milk and Milk Products
12210310,Milk and Milk Products
12210400,Milk and Milk Products
12210420,Milk and Milk Products
12210430,Milk and Milk Products
12210505,Milk and Milk Products
12210520,Milk and Milk Products
12220200,Milk and Milk Products
12220270,Milk and Milk Products
12220280,Milk and Milk Products
12310100,Milk and Milk Products
12310350,Milk and Milk Products
12310370,Milk and Milk Products
12320100,Milk and Milk Products
12350010,Milk and Milk Products
12350200,Milk and Milk Products
12350205,Milk and Milk Products
12350220,Milk and Milk Products
12350225,Milk and Milk Products
12350230,Milk and Milk Products
12350235,Milk and Milk Products
12350240,Milk and Milk Products
12350245,Milk and Milk Products
12350250,Milk and Milk Products
12350255,Milk and Milk Products
13110000,Milk and Milk Products
13110100,Milk and Milk Products
13110102,Milk and Milk Products
13110110,Milk and Milk Products
13110112,Milk and Milk Products
13110200,Milk and Milk Products
13110210,Milk and Milk Products
13110460,Milk and Milk Products
13110470,Milk and Milk Products
13120050,Milk and Milk Products
13120100,Milk and Milk Products
13120110,Milk and Milk Products
13120140,Milk and Milk Products
13120500,Milk and Milk Products
13120510,Milk and Milk Products
13120550,Milk and Milk Products
13120730,Milk and Milk Products
13120735,Milk and Milk Products
13120740,Milk and Milk Products
13120770,Milk and Milk Products
13120775,Milk and Milk Products
13120782,Milk and Milk Products
13120784,Milk and Milk Products
13120786,Milk and Milk Products
13120788,Milk and Milk Products
13120790,Milk and Milk Products
13120792,Milk and Milk Products
13120800,Milk and Milk Products
13120810,Milk and Milk Products
13121000,Milk and Milk Products
13121100,Milk and Milk Products
13121120,Milk and Milk Products
13121300,Milk and Milk Products
13121400,Milk and Milk Products
13126000,Milk and Milk Products
13130100,Milk and Milk Products
13130300,Milk and Milk Products
13130310,Milk and Milk Products
13130700,Milk and Milk Products
13135000,Milk and Milk Products
13135010,Milk and Milk Products
13140000,Milk and Milk Products
13140100,Milk and Milk Products
13140115,Milk and Milk Products
13140700,Milk and Milk Products
13140900,Milk and Milk Products
13142100,Milk and Milk Products
13142110,Milk and Milk Products
13150000,Milk and Milk Products
13161600,Milk and Milk Products
13200110,Milk and Milk Products
13210110,Milk and Milk Products
13210280,Milk and Milk Products
13210300,Milk and Milk Products
13210350,Milk and Milk Products
13210370,Milk and Milk Products
13210410,Milk and Milk Products
13210450,Milk and Milk Products
13210520,Milk and Milk Products
13220110,Milk and Milk Products
13220120,Milk and Milk Products
13220210,Milk and Milk Products
13220220,Milk and Milk Products
13230110,Milk and Milk Products
13230120,Milk and Milk Products
13230130,Milk and Milk Products
13230140,Milk and Milk Products
13230500,Milk and Milk Products
13241000,Milk and Milk Products
13250000,Milk and Milk Products
13252200,Milk and Milk Products
13252500,Milk and Milk Products
13252590,Milk and Milk Products
13252600,Milk and Milk Products
13411000,Milk and Milk Products
14010000,Milk and Milk Products
14101010,Milk and Milk Products
14102010,Milk and Milk Products
14103010,Milk and Milk Products
14103020,Milk and Milk Products
14104100,Milk and Milk Products
14104110,Milk and Milk Products
14104115,Milk and Milk Products
14104200,Milk and Milk Products
14104250,Milk and Milk Products
14104400,Milk and Milk Products
14104600,Milk and Milk Products
14104700,Milk and Milk Products
14105010,Milk and Milk Products
14105200,Milk and Milk Products
14106010,Milk and Milk Products
14106200,Milk and Milk Products
14106500,Milk and Milk Products
14107010,Milk and Milk Products
14107030,Milk and Milk Products
14107040,Milk and Milk Products
14107060,Milk and Milk Products
14107200,Milk and Milk Products
14107250,Milk and Milk Products
14108010,Milk and Milk Products
14108015,Milk and Milk Products
14108020,Milk and Milk Products
14108060,Milk and Milk Products
14108200,Milk and Milk Products
14108400,Milk and Milk Products
14108420,Milk and Milk Products
14109010,Milk and Milk Products
14109020,Milk and Milk Products
14109030,Milk and Milk Products
14109040,Milk and Milk Products
14110010,Milk and Milk Products
14110050,Milk and Milk Products
14120010,Milk and Milk Products
14120020,Milk and Milk Products
14131000,Milk and Milk Products
14131500,Milk and Milk Products
14133000,Milk and Milk Products
14134000,Milk and Milk Products
14200100,Milk and Milk Products
14201010,Milk and Milk Products
14201200,Milk and Milk Products
14201500,Milk and Milk Products
14202010,Milk and Milk Products
14202020,Milk and Milk Products
14203010,Milk and Milk Products
14203020,Milk and Milk Products
14203510,Milk and Milk Products
14204010,Milk and Milk Products
14204020,Milk and Milk Products
14206010,Milk and Milk Products
14207010,Milk and Milk Products
14301010,Milk and Milk Products
14301100,Milk and Milk Products
14303010,Milk and Milk Products
14410100,Milk and Milk Products
14410110,Milk and Milk Products
14410120,Milk and Milk Products
14410130,Milk and Milk Products
14410210,Milk and Milk Products
14410330,Milk and Milk Products
14410380,Milk and Milk Products
14410500,Milk and Milk Products
14410600,Milk and Milk Products
14410620,Milk and Milk Products
14420100,Milk and Milk Products
14420160,Milk and Milk Products
14420200,Milk and Milk Products
14420300,Milk and Milk Products
14502000,Milk and Milk Products
14610200,Milk and Milk Products
14610210,Milk and Milk Products
14610250,Milk and Milk Products
14610520,Milk and Milk Products
14620110,Milk and Milk Products
14620115,Milk and Milk Products
14620130,Milk and Milk Products
14620150,Milk and Milk Products
14620200,Milk and Milk Products
14620300,Milk and Milk Products
14620310,Milk and Milk Products
14620320,Milk and Milk Products
14620330,Milk and Milk Products
14630100,Milk and Milk Products
14630200,Milk and Milk Products
14630300,Milk and Milk Products
14640000,Milk and Milk Products
14640002,Milk and Milk Products
14640004,Milk and Milk Products
14640008,Milk and Milk Products
14640010,Milk and Milk Products
14640014,Milk and Milk Products
14640016,Milk and Milk Products
14640100,Milk and Milk Products
14640105,Milk and Milk Products
14640110,Milk and Milk Products
14640125,Milk and Milk Products
14640130,Milk and Milk Products
14640155,Milk and Milk Products
14640160,Milk and Milk Products
14650100,Milk and Milk Products
14650160,Milk and Milk Products
14650165,Milk and Milk Products
14650170,Milk and Milk Products
14650175,Milk and Milk Products
14650180,Milk and Milk Products
14650185,Milk and Milk Products
14650190,Milk and Milk Products
14650195,Milk and Milk Products
14660200,Milk and Milk Products
14670000,Milk and Milk Products
20000000,"Meat, Poultry, Fish, and Mixtures"
20000200,"Meat, Poultry, Fish, and Mixtures"
20000300,"Meat, Poultry, Fish, and Mixtures"
21000100,"Meat, Poultry, Fish, and Mixtures"
21001000,"Meat, Poultry, Fish, and Mixtures"
21101000,"Meat, Poultry, Fish, and Mixtures"
21101140,"Meat, Poultry, Fish, and Mixtures"
21101150,"Meat, Poultry, Fish, and Mixtures"
21101160,"Meat, Poultry, Fish, and Mixtures"
21101170,"Meat, Poultry, Fish, and Mixtures"
21101180,"Meat, Poultry, Fish, and Mixtures"
21101190,"Meat, Poultry, Fish, and Mixtures"
21102140,"Meat, Poultry, Fish, and Mixtures"
21102150,"Meat, Poultry, Fish, and Mixtures"
21102160,"Meat, Poultry, Fish, and Mixtures"
21102170,"Meat, Poultry, Fish, and Mixtures"
21102180,"Meat, Poultry, Fish, and Mixtures"
21102190,"Meat, Poultry, Fish, and Mixtures"
21103140,"Meat, Poultry, Fish, and Mixtures"
21103150,"Meat, Poultry, Fish, and Mixtures"
21103160,"Meat, Poultry, Fish, and Mixtures"
21103170,"Meat, Poultry, Fish, and Mixtures"
21103180,"Meat, Poultry, Fish, and Mixtures"
21104110,"Meat, Poultry, Fish, and Mixtures"
21301000,"Meat, Poultry, Fish, and Mixtures"
21302000,"Meat, Poultry, Fish, and Mixtures"
21304200,"Meat, Poultry, Fish, and Mixtures"
21305000,"Meat, Poultry, Fish, and Mixtures"
21401000,"Meat, Poultry, Fish, and Mixtures"
21407000,"Meat, Poultry, Fish, and Mixtures"
21410000,"Meat, Poultry, Fish, and Mixtures"
21416000,"Meat, Poultry, Fish, and Mixtures"
21417100,"Meat, Poultry, Fish, and Mixtures"
21420100,"Meat, Poultry, Fish, and Mixtures"
21500000,"Meat, Poultry, Fish, and Mixtures"
21500100,"Meat, Poultry, Fish, and Mixtures"
21500310,"Meat, Poultry, Fish, and Mixtures"
21601000,"Meat, Poultry, Fish, and Mixtures"
21601010,"Meat, Poultry, Fish, and Mixtures"
21602000,"Meat, Poultry, Fish, and Mixtures"
21602010,"Meat, Poultry, Fish, and Mixtures"
21602100,"Meat, Poultry, Fish, and Mixtures"
21701010,"Meat, Poultry, Fish, and Mixtures"
22000100,"Meat, Poultry, Fish, and Mixtures"
22002000,"Meat, Poultry, Fish, and Mixtures"
22002050,"Meat, Poultry, Fish, and Mixtures"
22002800,"Meat, Poultry, Fish, and Mixtures"
22101000,"Meat, Poultry, Fish, and Mixtures"
22101010,"Meat, Poultry, Fish, and Mixtures"
22101020,"Meat, Poultry, Fish, and Mixtures"
22101300,"Meat, Poultry, Fish, and Mixtures"
22101310,"Meat, Poultry, Fish, and Mixtures"
22101320,"Meat, Poultry, Fish, and Mixtures"
22101330,"Meat, Poultry, Fish, and Mixtures"
22201100,"Meat, Poultry, Fish, and Mixtures"
22201110,"Meat, Poultry, Fish, and Mixtures"
22201120,"Meat, Poultry, Fish, and Mixtures"
22201400,"Meat, Poultry, Fish, and Mixtures"
22210300,"Meat, Poultry, Fish, and Mixtures"
22311000,"Meat, Poultry, Fish, and Mixtures"
22311450,"Meat, Poultry, Fish, and Mixtures"
22311500,"Meat, Poultry, Fish, and Mixtures"
22321110,"Meat, Poultry, Fish, and Mixtures"
22400100,"Meat, Poultry, Fish, and Mixtures"
22431000,"Meat, Poultry, Fish, and Mixtures"
22501010,"Meat, Poultry, Fish, and Mixtures"
22600100,"Meat, Poultry, Fish, and Mixtures"
22600110,"Meat, Poultry, Fish, and Mixtures"
22600200,"Meat, Poultry, Fish, and Mixtures"
22600210,"Meat, Poultry, Fish, and Mixtures"
22601000,"Meat, Poultry, Fish, and Mixtures"
22601040,"Meat, Poultry, Fish, and Mixtures"
22602010,"Meat, Poultry, Fish, and Mixtures"
22621100,"Meat, Poultry, Fish, and Mixtures"
22700000,"Meat, Poultry, Fish, and Mixtures"
22701000,"Meat, Poultry, Fish, and Mixtures"
22704010,"Meat, Poultry, Fish, and Mixtures"
22705010,"Meat, Poultry, Fish, and Mixtures"
22706010,"Meat, Poultry, Fish, and Mixtures"
22707010,"Meat, Poultry, Fish, and Mixtures"
22707020,"Meat, Poultry, Fish, and Mixtures"
22708010,"Meat, Poultry, Fish, and Mixtures"
22708020,"Meat, Poultry, Fish, and Mixtures"
22709010,"Meat, Poultry, Fish, and Mixtures"
22810010,"Meat, Poultry, Fish, and Mixtures"
22820000,"Meat, Poultry, Fish, and Mixtures"
23000100,"Meat, Poultry, Fish, and Mixtures"
23101000,"Meat, Poultry, Fish, and Mixtures"
23132000,"Meat, Poultry, Fish, and Mixtures"
23150100,"Meat, Poultry, Fish, and Mixtures"
23201010,"Meat, Poultry, Fish, and Mixtures"
23220010,"Meat, Poultry, Fish, and Mixtures"
23220020,"Meat, Poultry, Fish, and Mixtures"
23310000,"Meat, Poultry, Fish, and Mixtures"
23321000,"Meat, Poultry, Fish, and Mixtures"
23321200,"Meat, Poultry, Fish, and Mixtures"
23321900,"Meat, Poultry, Fish, and Mixtures"
23322100,"Meat, Poultry, Fish, and Mixtures"
23323100,"Meat, Poultry, Fish, and Mixtures"
23323500,"Meat, Poultry, Fish, and Mixtures"
23324100,"Meat, Poultry, Fish, and Mixtures"
23326100,"Meat, Poultry, Fish, and Mixtures"
23331100,"Meat, Poultry, Fish, and Mixtures"
23332100,"Meat, Poultry, Fish, and Mixtures"
23333100,"Meat, Poultry, Fish, and Mixtures"
23334100,"Meat, Poultry, Fish, and Mixtures"
23335100,"Meat, Poultry, Fish, and Mixtures"
23340100,"Meat, Poultry, Fish, and Mixtures"
23345100,"Meat, Poultry, Fish, and Mixtures"
23350100,"Meat, Poultry, Fish, and Mixtures"
24100000,"Meat, Poultry, Fish, and Mixtures"
24100010,"Meat, Poultry, Fish, and Mixtures"
24100020,"Meat, Poultry, Fish, and Mixtures"
24102000,"Meat, Poultry, Fish, and Mixtures"
24102010,"Meat, Poultry, Fish, and Mixtures"
24102020,"Meat, Poultry, Fish, and Mixtures"
24102050,"Meat, Poultry, Fish, and Mixtures"
24102060,"Meat, Poultry, Fish, and Mixtures"
24102070,"Meat, Poultry, Fish, and Mixtures"
24103000,"Meat, Poultry, Fish, and Mixtures"
24103010,"Meat, Poultry, Fish, and Mixtures"
24103020,"Meat, Poultry, Fish, and Mixtures"
24103050,"Meat, Poultry, Fish, and Mixtures"
24103055,"Meat, Poultry, Fish, and Mixtures"
24103060,"Meat, Poultry, Fish, and Mixtures"
24103070,"Meat, Poultry, Fish, and Mixtures"
24103075,"Meat, Poultry, Fish, and Mixtures"
24103080,"Meat, Poultry, Fish, and Mixtures"
24104049,"Meat, Poultry, Fish, and Mixtures"
24104051,"Meat, Poultry, Fish, and Mixtures"
24107070,"Meat, Poultry, Fish, and Mixtures"
24107071,"Meat, Poultry, Fish, and Mixtures"
24107080,"Meat, Poultry, Fish, and Mixtures"
24107081,"Meat, Poultry, Fish, and Mixtures"
24120110,"Meat, Poultry, Fish, and Mixtures"
24120120,"Meat, Poultry, Fish, and Mixtures"
24122130,"Meat, Poultry, Fish, and Mixtures"
24122131,"Meat, Poultry, Fish, and Mixtures"
24122140,"Meat, Poultry, Fish, and Mixtures"
24122141,"Meat, Poultry, Fish, and Mixtures"
24122150,"Meat, Poultry, Fish, and Mixtures"
24122151,"Meat, Poultry, Fish, and Mixtures"
24122160,"Meat, Poultry, Fish, and Mixtures"
24122161,"Meat, Poultry, Fish, and Mixtures"
24122170,"Meat, Poultry, Fish, and Mixtures"
24122171,"Meat, Poultry, Fish, and Mixtures"
24123110,"Meat, Poultry, Fish, and Mixtures"
24123120,"Meat, Poultry, Fish, and Mixtures"
24123300,"Meat, Poultry, Fish, and Mixtures"
24123301,"Meat, Poultry, Fish, and Mixtures"
24123310,"Meat, Poultry, Fish, and Mixtures"
24123311,"Meat, Poultry, Fish, and Mixtures"
24124200,"Meat, Poultry, Fish, and Mixtures"
24124201,"Meat, Poultry, Fish, and Mixtures"
24127200,"Meat, Poultry, Fish, and Mixtures"
24127201,"Meat, Poultry, Fish, and Mixtures"
24127202,"Meat, Poultry, Fish, and Mixtures"
24127210,"Meat, Poultry, Fish, and Mixtures"
24127211,"Meat, Poultry, Fish, and Mixtures"
24127220,"Meat, Poultry, Fish, and Mixtures"
24127221,"Meat, Poultry, Fish, and Mixtures"
24127500,"Meat, Poultry, Fish, and Mixtures"
24127501,"Meat, Poultry, Fish, and Mixtures"
24130210,"Meat, Poultry, Fish, and Mixtures"
24130220,"Meat, Poultry, Fish, and Mixtures"
24132230,"Meat, Poultry, Fish, and Mixtures"
24132231,"Meat, Poultry, Fish, and Mixtures"
24132240,"Meat, Poultry, Fish, and Mixtures"
24132241,"Meat, Poultry, Fish, and Mixtures"
24133210,"Meat, Poultry, Fish, and Mixtures"
24133220,"Meat, Poultry, Fish, and Mixtures"
24134100,"Meat, Poultry, Fish, and Mixtures"
24134101,"Meat, Poultry, Fish, and Mixtures"
24134150,"Meat, Poultry, Fish, and Mixtures"
24134151,"Meat, Poultry, Fish, and Mixtures"
24134300,"Meat, Poultry, Fish, and Mixtures"
24134301,"Meat, Poultry, Fish, and Mixtures"
24137300,"Meat, Poultry, Fish, and Mixtures"
24137301,"Meat, Poultry, Fish, and Mixtures"
24137310,"Meat, Poultry, Fish, and Mixtures"
24137311,"Meat, Poultry, Fish, and Mixtures"
24140210,"Meat, Poultry, Fish, and Mixtures"
24140220,"Meat, Poultry, Fish, and Mixtures"
24142300,"Meat, Poultry, Fish, and Mixtures"
24142301,"Meat, Poultry, Fish, and Mixtures"
24142310,"Meat, Poultry, Fish, and Mixtures"
24142311,"Meat, Poultry, Fish, and Mixtures"
24142320,"Meat, Poultry, Fish, and Mixtures"
24142321,"Meat, Poultry, Fish, and Mixtures"
24142400,"Meat, Poultry, Fish, and Mixtures"
24142401,"Meat, Poultry, Fish, and Mixtures"
24142500,"Meat, Poultry, Fish, and Mixtures"
24142501,"Meat, Poultry, Fish, and Mixtures"
24142510,"Meat, Poultry, Fish, and Mixtures"
24142511,"Meat, Poultry, Fish, and Mixtures"
24143210,"Meat, Poultry, Fish, and Mixtures"
24143220,"Meat, Poultry, Fish, and Mixtures"
24144300,"Meat, Poultry, Fish, and Mixtures"
24144301,"Meat, Poultry, Fish, and Mixtures"
24147300,"Meat, Poultry, Fish, and Mixtures"
24147301,"Meat, Poultry, Fish, and Mixtures"
24147302,"Meat, Poultry, Fish, and Mixtures"
24147310,"Meat, Poultry, Fish, and Mixtures"
24147311,"Meat, Poultry, Fish, and Mixtures"
24147320,"Meat, Poultry, Fish, and Mixtures"
24147321,"Meat, Poultry, Fish, and Mixtures"
24147400,"Meat, Poultry, Fish, and Mixtures"
24147401,"Meat, Poultry, Fish, and Mixtures"
24150210,"Meat, Poultry, Fish, and Mixtures"
24150220,"Meat, Poultry, Fish, and Mixtures"
24152230,"Meat, Poultry, Fish, and Mixtures"
24152231,"Meat, Poultry, Fish, and Mixtures"
24152240,"Meat, Poultry, Fish, and Mixtures"
24152241,"Meat, Poultry, Fish, and Mixtures"
24152250,"Meat, Poultry, Fish, and Mixtures"
24152251,"Meat, Poultry, Fish, and Mixtures"
24152300,"Meat, Poultry, Fish, and Mixtures"
24152301,"Meat, Poultry, Fish, and Mixtures"
24153210,"Meat, Poultry, Fish, and Mixtures"
24153220,"Meat, Poultry, Fish, and Mixtures"
24154010,"Meat, Poultry, Fish, and Mixtures"
24154011,"Meat, Poultry, Fish, and Mixtures"
24154020,"Meat, Poultry, Fish, and Mixtures"
24154021,"Meat, Poultry, Fish, and Mixtures"
24154300,"Meat, Poultry, Fish, and Mixtures"
24154301,"Meat, Poultry, Fish, and Mixtures"
24157300,"Meat, Poultry, Fish, and Mixtures"
24157301,"Meat, Poultry, Fish, and Mixtures"
24157302,"Meat, Poultry, Fish, and Mixtures"
24157310,"Meat, Poultry, Fish, and Mixtures"
24157311,"Meat, Poultry, Fish, and Mixtures"
24157320,"Meat, Poultry, Fish, and Mixtures"
24157321,"Meat, Poultry, Fish, and Mixtures"
24157330,"Meat, Poultry, Fish, and Mixtures"
24157331,"Meat, Poultry, Fish, and Mixtures"
24157400,"Meat, Poultry, Fish, and Mixtures"
24157401,"Meat, Poultry, Fish, and Mixtures"
24160110,"Meat, Poultry, Fish, and Mixtures"
24162130,"Meat, Poultry, Fish, and Mixtures"
24162140,"Meat, Poultry, Fish, and Mixtures"
24162150,"Meat, Poultry, Fish, and Mixtures"
24162200,"Meat, Poultry, Fish, and Mixtures"
24163110,"Meat, Poultry, Fish, and Mixtures"
24164000,"Meat, Poultry, Fish, and Mixtures"
24164010,"Meat, Poultry, Fish, and Mixtures"
24164200,"Meat, Poultry, Fish, and Mixtures"
24167200,"Meat, Poultry, Fish, and Mixtures"
24167210,"Meat, Poultry, Fish, and Mixtures"
24167220,"Meat, Poultry, Fish, and Mixtures"
24167230,"Meat, Poultry, Fish, and Mixtures"
24167300,"Meat, Poultry, Fish, and Mixtures"
24168000,"Meat, Poultry, Fish, and Mixtures"
24168001,"Meat, Poultry, Fish, and Mixtures"
24168002,"Meat, Poultry, Fish, and Mixtures"
24168010,"Meat, Poultry, Fish, and Mixtures"
24168011,"Meat, Poultry, Fish, and Mixtures"
24168012,"Meat, Poultry, Fish, and Mixtures"
24168020,"Meat, Poultry, Fish, and Mixtures"
24168021,"Meat, Poultry, Fish, and Mixtures"
24168022,"Meat, Poultry, Fish, and Mixtures"
24168030,"Meat, Poultry, Fish, and Mixtures"
24168031,"Meat, Poultry, Fish, and Mixtures"
24170200,"Meat, Poultry, Fish, and Mixtures"
24180200,"Meat, Poultry, Fish, and Mixtures"
24198340,"Meat, Poultry, Fish, and Mixtures"
24198440,"Meat, Poultry, Fish, and Mixtures"
24198500,"Meat, Poultry, Fish, and Mixtures"
24198570,"Meat, Poultry, Fish, and Mixtures"
24198670,"Meat, Poultry, Fish, and Mixtures"
24198671,"Meat, Poultry, Fish, and Mixtures"
24198677,"Meat, Poultry, Fish, and Mixtures"
24198683,"Meat, Poultry, Fish, and Mixtures"
24198720,"Meat, Poultry, Fish, and Mixtures"
24198729,"Meat, Poultry, Fish, and Mixtures"
24198731,"Meat, Poultry, Fish, and Mixtures"
24198732,"Meat, Poultry, Fish, and Mixtures"
24198735,"Meat, Poultry, Fish, and Mixtures"
24198736,"Meat, Poultry, Fish, and Mixtures"
24198737,"Meat, Poultry, Fish, and Mixtures"
24198739,"Meat, Poultry, Fish, and Mixtures"
24198741,"Meat, Poultry, Fish, and Mixtures"
24198742,"Meat, Poultry, Fish, and Mixtures"
24198745,"Meat, Poultry, Fish, and Mixtures"
24198746,"Meat, Poultry, Fish, and Mixtures"
24198747,"Meat, Poultry, Fish, and Mixtures"
24201000,"Meat, Poultry, Fish, and Mixtures"
24201020,"Meat, Poultry, Fish, and Mixtures"
24201030,"Meat, Poultry, Fish, and Mixtures"
24201060,"Meat, Poultry, Fish, and Mixtures"
24201070,"Meat, Poultry, Fish, and Mixtures"
24201120,"Meat, Poultry, Fish, and Mixtures"
24201130,"Meat, Poultry, Fish, and Mixtures"
24201220,"Meat, Poultry, Fish, and Mixtures"
24201230,"Meat, Poultry, Fish, and Mixtures"
24201320,"Meat, Poultry, Fish, and Mixtures"
24201330,"Meat, Poultry, Fish, and Mixtures"
24201360,"Meat, Poultry, Fish, and Mixtures"
24201370,"Meat, Poultry, Fish, and Mixtures"
24201410,"Meat, Poultry, Fish, and Mixtures"
24201420,"Meat, Poultry, Fish, and Mixtures"
24201510,"Meat, Poultry, Fish, and Mixtures"
24201520,"Meat, Poultry, Fish, and Mixtures"
